Rocket Data Measurement Number 44
Samples are Altitude in Meters - Sample Rate is 20Hz (20 Samples / Second)

-3.8,
-4.0,
-4.1,
-4.1,
-4.1,
-4.0,
-3.7,
-3.6,
-3.5,
-3.3,
-3.4,
-3.5,
-3.5,
-3.5,
-3.6,
-3.6,
-3.7,
-3.7,
-3.6,
-3.6,
-3.6,
-3.6,
-3.6,
-3.7,
-3.7,
-3.8,
-3.7,
-3.7,
-3.6,
-3.7,
-3.6,
-3.5,
-3.6,
-3.7,
-3.5,
-3.4,
-3.5,
-3.4,
-3.4,
-3.5,
-3.4,
-3.3,
-3.3,
-3.2,
-3.0,
-3.1,
-3.1,
-3.1,
-3.2,
-3.4,
-3.3,
-3.3,
-3.3,
-3.4,
-3.4,
-3.5,
-3.5,
-3.5,
-3.3,
-3.3,
-3.3,
-3.3,
-3.2,
-3.2,
-3.1,
-3.2,
-3.2,
-3.1,
-3.1,
-3.1,
-2.9,
-2.9,
-2.9,
-2.9,
-2.9,
-2.9,
-2.9,
-3.1,
-3.2,
-3.2,
-3.2,
-3.3,
-3.1,
-3.0,
-3.1,
-3.1,
-3.1,
-3.2,
-3.3,
-3.2,
-3.2,
-3.2,
-3.3,
-3.2,
-3.3,
-3.4,
-3.3,
-3.3,
-3.3,
-3.3,
-3.3,
-3.4,
-3.3,
-3.3,
-3.2,
-3.1,
-3.0,
-3.1,
-3.1,
-3.1,
-3.1,
-3.1,
-3.1,
-3.2,
-3.3,
-3.3,
-3.3,
-3.3,
-3.3,
-3.3,
-3.4,
-3.5,
-3.4,
-3.4,
-3.4,
-3.4,
-3.3,
-3.4,
-3.3,
-3.3,
-3.1,
-3.1,
-3.1,
-3.1,
-2.9,
-2.8,
-2.6,
-2.2,
-1.7,
-1.1,
-0.5,
0.2,
1.0,
1.8,
2.4,
3.2,
3.5,
4.3,
5.3,
6.2,
7.1,
8.4,
8.9,
9.0,
9.5,
9.7,
10.0,
10.5,
11.0,
11.2,
11.5,
11.9,
12.1,
12.3,
12.5,
12.4,
12.2,
12.3,
12.5,
12.6,
12.8,
13.1,
13.2,
13.2,
13.3,
13.6,
13.7,
13.8,
13.8,
13.9,
13.9,
13.9,
13.9,
14.0,
14.0,
13.9,
13.7,
13.4,
12.9,
12.5,
12.2,
11.9,
11.6,
11.5,
11.3,
11.0,
10.7,
10.6,
10.6,
10.4,
10.3,
10.2,
9.8,
9.1,
8.7,
8.1,
7.5,
7.0,
6.6,
6.1,
5.7,
5.4,
5.1,
4.9,
4.4,
4.0,
3.4,
2.7,
1.8,
1.0,
0.1,
-0.7,
-1.3,
-1.9,
-2.4,
-2.9,
-2.5,
-2.9,
-3.1,
-3.2,
-3.2,
-4.1,
-4.1,
-4.3,
-4.5,
-4.6,
-4.6,
-4.7,
-4.5,
-4.4,
-4.4,
-4.4,
-4.4,
-4.5,
-4.4,
-4.3,
-4.2,
-4.1,
-4.0,
-4.1,
-4.1,
-4.1,
-4.2,
-4.2,
-4.2,
-4.2,
-4.2,
-4.1,
-4.2,
-4.1,
-4.2,
-4.3,
-4.4,
-4.4,
-4.5,
-4.4,
-4.4,
-4.3,
-4.2,
-4.3,
-4.4,
-4.3,
-4.3,
-4.3,
-4.2,
-4.1,
-4.2,
-4.2,
-4.2,
-4.1,
-4.1,
-4.0,
-4.0,
-4.0,
-4.0,
-4.1,
-4.2,
-4.2,
-4.1,
-4.1,
-4.0,
-3.9,
-3.9,
-4.0,
-4.1,
-4.1,
-4.0,
-4.0,
-4.0,
-3.9,
-3.8,
-4.0,
-4.0,
-4.0,
-3.9,
-4.0,
-3.9,
-3.8,
-3.8,
-3.8,
-3.7,
-3.7,
-3.8,
-3.8,
-3.8,
-3.9,
-3.9,
-3.8,
-3.8,
-3.8,
-3.6,
-3.5,
-3.5,
-3.5,
-3.7,
-3.9,
-4.1,
-4.1,
-4.0,
-3.7,
-3.6,
-3.3,
-3.2,
-3.2,
-3.4,
-3.4,
-3.5,
-3.6,
-3.5,
-3.3,
-3.4,
-3.4,
-3.4,
-3.5,
-3.7,
-3.7,
-3.7,
-3.7,
-3.7,
-3.5,
-3.5,
-3.5,
-3.5,
-3.6,
-3.6,
-3.4,
-3.4,
-3.3,
-3.0,
-3.1,
-3.3,
-3.3,
-3.4,
-3.6,
-3.6,
-3.5,
-3.5,
-3.5,
-3.5,
-3.5,
-3.5,
-3.5,
-3.3,
-3.2,
-3.0,
-3.0,
-3.0,
-3.1,
-3.1,
-3.2,
-3.1,
-3.1,
-3.1,
-3.2,
-3.2,
-3.3,
-3.2,
-3.2,
-3.3,
-3.4,
-3.4,
-3.5,
-3.6,
-3.5,
-3.6,
-3.5,
-3.5,
-3.6,
-3.7,
-3.6,
-3.8,
-3.8,
-3.8,
-3.8,
-3.8,
-3.7,
-3.7,
-3.7,
-3.7,
-3.8,
-3.7,
-3.7,
-3.7,
-3.5,
-3.4,
-3.5,
-3.4,
-3.3,
-3.3,
-3.3,
-3.2,
-3.3,
-3.3,
-3.4,
-3.4,
-3.5,
-3.5,
-3.6,
-3.6,
-3.6,
-3.5,
-3.5,
-3.4,
-3.4,
-3.4,
-3.4,
-3.2,
-3.0,
-2.9,
-2.9,
-3.0,
-3.2,
-3.3,
-3.4,
-3.5,
-3.6,
-3.6,
-3.8,
-3.8,
-3.7,
-3.6,
-3.6,
-3.3,
-3.2,
-3.3,
-3.3,
-3.3,
-3.3,
-3.4,
-3.3,
-3.1,
-3.0,
-3.0,
-3.1,
-3.1,
-3.3,
-3.4,
-3.6,
-3.5,
-3.5,
-3.5,
-3.5,
-3.5,
-3.4,
-3.4,
-3.3,
-3.3,
-3.3,
-3.3,
-3.2,
-3.3,
-3.1,
-3.1,
-3.1,
-3.0,
-3.1,
-3.2,
-3.2,
-3.3,
-3.4,
-3.2,
-3.3,
-3.3,
-3.5,

Maximum Speed: 59.04 km/h
Maximum Height: 14.0 m
